26 1001
Gros Valerie
CNRS LSCE, Orme des Merisiers, Bat 701, 91 191 Gif sur Yvette, France, valerie.gros@lsce.ipsl.fr
"Ozone instrument; carbon monoxide instrument; Nitrogen oxides instrument; LHVP station"
MEGAPOLI winter campaign
1 1
2010 01 01 2010 10 27
5 min
Time (hours since 2010-01-01 00:00:00 +1:00 )
4
1. 1. 1. 1.
9999 9999 9999 9999
ozone O3  (ppbv)
CO (ppbv)
NO (ppbv)
NOx (ppbv)
9
Ozone was measured with a Thermo-Environnment 49C instrument
Carbon monoxide was measured with a Thermo-Environment 48i-TL instrument
Nitrogen monoxide and nitrogen oxides were measured with a Environment SA AC31M  instrument from LHVP
Please contact me for more details on the instruments
 -------------------------------------------------------------------------------------------
These data were generated or collected within the framework of  FP7/ MEGAPOLI and of the national ANR MEGAPOLI-PARIS 
The user agrees with the MEGAPOLI DATA EXCHANGE PROTOCOL
 -------------------------------------------------------------------------------------------
Time (UTC)	O3 (ppb)	CO (ppb)	NO (ppb)	NOx (ppb)
16,590	11,6	369,1	5,2	28,0
16,594	10,0	392,2	5,9	28,4
16,597	9,6	402,9	7,1	31,1
16,601	10,6	389,4	6,4	31,2
16,604	11,6	367,4	7,4	30,8
16,608	11,0	373,6	6,2	29,9
16,611	9,6	373,2	6,4	30,4
16,615	7,7	395,7	6,9	32,7
16,618	7,6	417,2	6,9	34,7
16,622	7,6	407,6	7,8	36,3
16,625	5,7	429,3	8,5	38,1
16,628	4,8	9999	11,8	44,7
16,632	5,0	9999	12,5	45,8
16,635	5,3	9999	13,2	45,9
16,639	5,4	9999	14,0	46,7
16,642	5,4	391,4	13,7	46,4
16,646	6,4	381,9	13,1	45,4
16,649	5,7	387,3	11,7	42,9
16,653	6,3	378,9	11,0	42,1
16,656	6,6	388,3	10,3	40,3
16,660	6,6	380,5	10,4	39,5
16,663	6,5	370,7	8,8	38,2
16,667	6,3	390,0	9,5	38,4
16,670	4,7	405,1	9,6	40,5
16,674	4,2	403,1	11,4	42,2
16,677	4,0	416,2	12,5	45,4
16,681	4,5	390,4	13,5	45,3
16,684	4,8	386,7	12,6	45,2
16,688	6,2	368,4	11,1	42,2
16,691	5,0	370,1	10,3	41,4
16,694	5,2	376,8	10,6	41,7
16,698	5,7	367,6	11,3	41,6
16,701	5,4	380,7	10,2	41,0
16,705	5,6	366,0	9,3	41,3
16,708	5,4	361,3	9,6	41,1
16,712	5,0	384,6	10,2	42,1
16,715	6,4	363,5	9,5	41,4
16,719	5,4	370,9	9,6	41,6
16,722	6,0	377,5	9,2	41,5
16,726	5,9	376,8	9,3	40,9
16,729	5,1	377,7	9,4	41,9
16,733	4,6	384,2	10,8	43,1
16,736	5,6	378,1	9,8	43,6
16,740	5,9	381,2	10,7	42,1
16,743	6,5	369,5	9,3	41,5
16,747	6,4	355,9	8,4	40,5
16,750	8,3	345,5	8,3	37,3
16,753	8,8	348,6	7,2	35,8
16,757	8,6	335,2	7,5	33,7
16,760	7,7	366,0	7,1	34,6
16,764	8,5	363,7	7,8	34,3
16,767	7,7	371,1	7,2	34,5
16,771	7,6	378,7	8,1	35,6
16,774	7,6	352,2	7,5	35,5
16,778	7,8	372,3	8,1	36,0
16,781	8,3	367,7	8,2	35,9
16,785	7,7	378,7	8,6	36,1
16,788	7,8	386,3	7,4	36,0
16,792	7,6	373,8	7,3	35,8
16,795	7,8	9999	7,7	35,9
16,799	8,8	9999	6,9	34,1
16,802	7,5	9999	7,4	33,5
16,806	7,8	9999	6,8	34,1
16,809	6,7	340,2	6,5	33,5
16,813	7,7	334,8	7,6	34,5
16,816	7,6	342,0	6,3	34,5
16,819	7,1	334,7	7,1	34,7
16,823	7,8	344,8	7,1	34,9
16,826	9,2	339,3	6,8	33,9
16,830	10,2	310,3	6,7	32,0
16,833	10,1	317,2	5,7	30,8
16,837	10,3	312,4	5,7	30,4
16,840	9,7	313,5	5,5	29,9
16,844	10,6	319,3	5,4	29,6
16,847	11,4	310,0	5,5	28,7
16,851	12,6	293,0	4,1	27,2
16,854	13,1	308,2	4,3	26,0
16,858	13,8	301,4	4,4	25,0
16,861	14,8	286,4	3,0	23,4
16,865	15,2	293,5	3,4	22,4
16,868	16,5	288,3	3,8	21,6
16,872	15,3	292,2	2,6	20,7
16,875	15,4	290,8	2,9	20,3
16,878	12,7	299,6	3,3	22,2
16,882	11,5	330,9	3,2	25,0
16,885	13,5	318,0	4,3	26,0
